trial,target_device,model,model_group,feature_method,outer_fold,selected_features,inner_cv_balanced_accuracy,auth_tdr,auth_fdr,rogue_rejection_rate,adr,n_auth_train,n_auth_test,n_rogue_external_test
trial_2,device1,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.963855421686747,0.4819277108433735,42,21,83
trial_2,device1,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.17647058823529413,0.9397590361445783,0.46987951807228917,42,21,83
trial_2,device10,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.05263157894736842,0.8554216867469879,0.42771084337349397,42,21,83
trial_2,device10,lda,added,ANOVA fitted inside training folds,2,50,,0.0,0.05555555555555555,0.9879518072289156,0.4939759036144578,42,21,83
trial_2,device10,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.05555555555555555,0.9036144578313253,0.45180722891566266,42,21,83
trial_2,device6,lda,added,ANOVA fitted inside training folds,1,50,,0.6,0.0625,0.8795180722891566,0.7397590361445783,42,21,83
trial_2,device6,lda,added,ANOVA fitted inside training folds,2,50,,1.0,0.06666666666666667,0.8192771084337349,0.9096385542168675,42,21,83
trial_2,device6,lda,added,ANOVA fitted inside training folds,3,50,,0.5,0.0,0.8192771084337349,0.6596385542168675,42,21,83
trial_2,device12,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.927710843373494,0.463855421686747,42,21,83
trial_2,device12,lda,added,ANOVA fitted inside training folds,2,50,,0.0,0.10526315789473684,0.9518072289156626,0.4759036144578313,42,21,83
trial_2,device12,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,42,21,83
trial_2,device3,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.7951807228915663,0.39759036144578314,42,21,83
trial_2,device3,lda,added,ANOVA fitted inside training folds,2,50,,0.25,0.4117647058823529,0.6144578313253012,0.4322289156626506,42,21,83
trial_2,device3,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.1875,0.8795180722891566,0.4397590361445783,42,21,83
trial_2,device11,lda,added,ANOVA fitted inside training folds,1,50,,0.5,0.10526315789473684,0.927710843373494,0.713855421686747,42,21,83
trial_2,device11,lda,added,ANOVA fitted inside training folds,2,50,,0.5,0.05263157894736842,0.8674698795180723,0.6837349397590362,42,21,83
trial_2,device11,lda,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9518072289156626,0.4759036144578313,42,21,83
trial_2,device1,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.25,0.8554216867469879,0.42771084337349397,42,21,83
trial_2,device1,lda,added,ANOVA fitted inside training folds,2,50,,0.75,0.11764705882352941,0.7951807228915663,0.7725903614457832,42,21,83
trial_2,device1,lda,added,ANOVA fitted inside training folds,3,50,,0.25,0.23529411764705882,0.7228915662650602,0.4864457831325301,42,21,83
trial_3,device1,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device1,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device1,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device10,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device10,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device10,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device9,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device9,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device9,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.038461538461538464,0.9454545454545454,0.4727272727272727,61,30,55
trial_3,device8,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device8,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device8,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.04,1.0,0.5,61,30,55
trial_3,device12,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device12,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device12,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device11,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device11,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device11,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device6,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.16666666666666666,0.04,0.9818181818181818,0.5742424242424242,60,31,55
trial_3,device6,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.04,1.0,0.5,61,30,55
trial_3,device6,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.3333333333333333,0.0,0.9636363636363636,0.6484848484848484,61,30,55
trial_3,device7,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device7,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.15384615384615385,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device7,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9818181818181818,0.4909090909090909,61,30,55
trial_3,device1,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.2,0.11538461538461539,0.8909090909090909,0.5454545454545454,60,31,55
trial_3,device1,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.5,0.19230769230769232,0.7090909090909091,0.6045454545454545,61,30,55
trial_3,device1,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.5,0.19230769230769232,0.8727272727272727,0.6863636363636363,61,30,55
trial_3,device10,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.03571428571428571,0.9454545454545454,0.4727272727272727,60,31,55
trial_3,device10,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.07142857142857142,0.8727272727272727,0.43636363636363634,61,30,55
trial_3,device10,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.1111111111111111,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device9,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.11538461538461539,0.7272727272727273,0.36363636363636365,60,31,55
trial_3,device9,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.25,0.23076923076923078,0.7454545454545455,0.49772727272727274,61,30,55
trial_3,device9,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,1.0,0.2692307692307692,0.7272727272727273,0.8636363636363636,61,30,55
trial_3,device8,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.6,0.19230769230769232,0.8,0.7,60,31,55
trial_3,device8,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.24,0.7636363636363637,0.38181818181818183,61,30,55
trial_3,device8,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.2,0.12,0.8,0.5,61,30,55
trial_3,device12,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.13793103448275862,0.9272727272727272,0.4636363636363636,60,31,55
trial_3,device12,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.21428571428571427,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device12,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.07142857142857142,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device11,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.06896551724137931,0.8909090909090909,0.44545454545454544,60,31,55
trial_3,device11,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.14285714285714285,0.9272727272727272,0.4636363636363636,61,30,55
trial_3,device11,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.10714285714285714,0.9454545454545454,0.4727272727272727,61,30,55
trial_3,device6,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.5,0.2,0.8363636363636363,0.6681818181818182,60,31,55
trial_3,device6,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.8,0.08,0.8363636363636363,0.8181818181818181,61,30,55
trial_3,device6,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.8333333333333334,0.25,0.8363636363636363,0.8348484848484848,61,30,55
trial_3,device7,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.4,0.3076923076923077,0.8363636363636363,0.6181818181818182,60,31,55
trial_3,device7,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.25,0.38461538461538464,0.7090909090909091,0.47954545454545455,61,30,55
trial_3,device7,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.25,0.2692307692307692,0.8181818181818182,0.5340909090909092,61,30,55
trial_3,device1,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device1,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device1,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device10,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device10,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device10,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,61,30,55
trial_3,device9,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,60,31,55
trial_3,device9,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.9636363636363636,0.4818181818181818,61,30,55
trial_3,device9,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.25,0.0,0.9272727272727272,0.5886363636363636,61,30,55
